date,max_temp,min_temp
2025-12-14,8.1,5.3
2025-12-15,11.5,4.9
2025-12-16,14.6,10.1
2025-12-17,11.5,7.9
2025-12-18,15.5,7.9
2025-12-19,13.2,8.4
2025-12-20,10.3,8.2
2025-12-21,11.8,8.7
