date,max_temp,min_temp
2025-12-14,12.0,0.7
2025-12-15,9.0,-1.0
2025-12-16,6.6,3.6
2025-12-17,9.9,6.7
2025-12-18,10.9,7.1
2025-12-19,10.5,7.9
2025-12-20,10.5,7.8
2025-12-21,9.6,7.6
